epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32338,0.6066,0.41106,0.93037,0.90493,0.89515,0.87267,0.80372,0.49025,0.55879,0.85253,0.08119,0.00019,0.00019
2,4.21696,0.56494,0.38912,0.9277,0.87819,0.9,0.9064,0.85294,0.46108,0.48268,0.83158,0.0613874,0.000387426,0.000387426
3,5.07342,0.50766,0.39202,0.89648,0.90581,0.9,0.92461,0.86807,0.42618,0.44058,0.8174,0.0415822,0.000582212,0.000582212
4,5.88421,0.56416,0.3976,0.92225,0.91536,0.9,0.9249,0.8643,0.4184,0.43003,0.81407,0.0217744,0.000774358,0.000774358
5,6.69342,0.49524,0.33723,0.89055,0.91938,0.9,0.90159,0.84759,0.41458,0.4322,0.81024,0.00196386,0.000963864,0.000963864
6,7.51945,0.52944,0.31298,0.88379,0.88372,0.89425,0.89808,0.85402,0.41529,0.45806,0.80946,0.000967,0.000967,0.000967
7,8.33569,0.48579,0.33396,0.87696,0.90778,0.87156,0.89808,0.84908,0.41681,0.46903,0.80942,0.0009604,0.0009604,0.0009604
8,9.12935,0.47382,0.32277,0.90487,0.91723,0.86603,0.90163,0.8436,0.41602,0.4642,0.80907,0.0009538,0.0009538,0.0009538
9,9.94184,0.51446,0.32321,0.89716,0.93972,0.85465,0.90422,0.85859,0.41242,0.4673,0.80648,0.0009472,0.0009472,0.0009472
10,10.785,0.53696,0.33646,0.91358,0.93767,0.85532,0.92272,0.8808,0.39948,0.45074,0.79958,0.0009406,0.0009406,0.0009406
11,11.6015,0.49061,0.30244,0.89759,0.93466,0.85705,0.93137,0.8901,0.39288,0.4454,0.79693,0.000934,0.000934,0.000934
12,12.4121,0.45076,0.30775,0.87179,0.93343,0.85776,0.92062,0.88362,0.38481,0.45348,0.79404,0.0009274,0.0009274,0.0009274
13,13.2251,0.41819,0.28802,0.88543,0.92835,0.85738,0.92839,0.89536,0.37605,0.46288,0.79115,0.0009208,0.0009208,0.0009208
14,14.2317,0.47843,0.34697,0.88564,0.91936,0.85894,0.94689,0.91143,0.36819,0.463,0.78766,0.0009142,0.0009142,0.0009142
15,15.1839,0.467,0.29843,0.90236,0.92521,0.85584,0.93864,0.8991,0.35864,0.44932,0.78608,0.0009076,0.0009076,0.0009076
16,16.072,0.46469,0.30875,0.88393,0.82283,0.92819,0.935,0.8934,0.35395,0.43552,0.78386,0.000901,0.000901,0.000901
17,16.9744,0.42941,0.29044,0.87144,0.82367,0.93183,0.92359,0.892,0.34846,0.43372,0.78232,0.0008944,0.0008944,0.0008944
18,17.8445,0.44075,0.29165,0.87283,0.92049,0.85769,0.92779,0.89186,0.34199,0.41913,0.78134,0.0008878,0.0008878,0.0008878
19,18.702,0.43545,0.30893,0.88756,0.91909,0.85795,0.91711,0.88318,0.34297,0.41497,0.78242,0.0008812,0.0008812,0.0008812
20,19.685,0.42906,0.27258,0.86696,0.91807,0.85791,0.91769,0.87249,0.34455,0.41648,0.78318,0.0008746,0.0008746,0.0008746
21,20.6511,0.42879,0.28038,0.87847,0.91799,0.8577,0.91812,0.86521,0.34385,0.40984,0.78342,0.000868,0.000868,0.000868
22,21.6321,0.43878,0.32694,0.88763,0.81212,0.95,0.91855,0.8717,0.34384,0.41242,0.78372,0.0008614,0.0008614,0.0008614
23,22.6061,0.39764,0.27812,0.86578,0.80526,0.95,0.92391,0.88059,0.34563,0.4212,0.78454,0.0008548,0.0008548,0.0008548
24,23.6378,0.38498,0.25512,0.86666,0.80121,0.95,0.92431,0.89306,0.34412,0.42187,0.78383,0.0008482,0.0008482,0.0008482
25,24.608,0.38667,0.26739,0.86578,0.80412,0.95,0.92479,0.89578,0.34272,0.41725,0.78409,0.0008416,0.0008416,0.0008416
26,25.6139,0.43308,0.28004,0.87564,0.83008,0.95,0.94233,0.91887,0.33569,0.39157,0.78227,0.000835,0.000835,0.000835
27,26.5864,0.40073,0.26552,0.85084,0.83892,0.95,0.95122,0.9272,0.33335,0.38219,0.78112,0.0008284,0.0008284,0.0008284
28,27.5887,0.42253,0.27385,0.86654,0.83937,0.95,0.95622,0.93497,0.33018,0.3807,0.77904,0.0008218,0.0008218,0.0008218
29,28.5963,0.37353,0.26451,0.8473,0.84347,0.95,0.95979,0.93559,0.3241,0.37309,0.77665,0.0008152,0.0008152,0.0008152
30,29.5856,0.41031,0.25791,0.85765,0.86469,0.95607,0.98122,0.9589,0.31999,0.33426,0.7744,0.0008086,0.0008086,0.0008086
31,30.5657,0.38605,0.26587,0.86364,0.87037,0.95549,0.98122,0.95762,0.31462,0.32565,0.77232,0.000802,0.000802,0.000802
32,31.524,0.3675,0.24819,0.86367,0.87864,0.95515,0.98122,0.95764,0.31431,0.30788,0.77157,0.0007954,0.0007954,0.0007954
33,32.4979,0.37653,0.24494,0.86059,0.87889,0.9548,0.98122,0.94968,0.31373,0.30717,0.77138,0.0007888,0.0007888,0.0007888
34,33.4732,0.37887,0.26095,0.85746,0.89839,0.95,0.96722,0.94752,0.30141,0.28441,0.76975,0.0007822,0.0007822,0.0007822
35,34.439,0.37992,0.25288,0.859,0.8931,0.95,0.96722,0.94752,0.29833,0.28103,0.76956,0.0007756,0.0007756,0.0007756
36,35.4314,0.39276,0.26276,0.86073,0.90117,0.95,0.96722,0.94989,0.29545,0.27314,0.77021,0.000769,0.000769,0.000769
37,36.44,0.35938,0.23719,0.86103,0.91298,0.95,0.97278,0.95447,0.29812,0.25823,0.7706,0.0007624,0.0007624,0.0007624
38,37.4886,0.38626,0.27414,0.8651,0.90379,0.95,0.97833,0.95429,0.29704,0.26725,0.77012,0.0007558,0.0007558,0.0007558
39,38.3844,0.38247,0.25123,0.87362,0.90897,0.94952,0.985,0.96282,0.29201,0.26115,0.76839,0.0007492,0.0007492,0.0007492
40,39.3518,0.37338,0.26076,0.85584,0.92544,0.95,0.985,0.95643,0.29094,0.25187,0.76782,0.0007426,0.0007426,0.0007426
41,40.2345,0.34524,0.22367,0.83946,0.92771,0.94956,0.985,0.95626,0.2884,0.24861,0.76681,0.000736,0.000736,0.000736
42,41.1406,0.37055,0.24951,0.87535,0.93045,0.94879,0.985,0.95194,0.28565,0.24503,0.76601,0.0007294,0.0007294,0.0007294
43,42.0382,0.36296,0.24459,0.86037,0.92863,0.94765,0.985,0.95183,0.28573,0.24393,0.76591,0.0007228,0.0007228,0.0007228
44,42.9405,0.38517,0.25956,0.88269,0.93224,0.95127,0.995,0.97322,0.28309,0.23741,0.76575,0.0007162,0.0007162,0.0007162
45,43.8457,0.37107,0.26348,0.85374,0.92711,0.94736,0.985,0.96409,0.27909,0.24394,0.76573,0.0007096,0.0007096,0.0007096
46,44.7471,0.32223,0.21991,0.85729,0.9141,0.94923,0.995,0.97365,0.27471,0.24385,0.76577,0.000703,0.000703,0.000703
47,45.7222,0.36973,0.2664,0.87135,0.90998,0.95001,0.995,0.97398,0.27109,0.24681,0.76556,0.0006964,0.0006964,0.0006964
48,46.6369,0.32388,0.2472,0.85074,0.90374,0.94972,0.995,0.97655,0.27139,0.24865,0.76525,0.0006898,0.0006898,0.0006898
49,47.5531,0.35102,0.2555,0.85095,0.90555,0.9506,0.995,0.97586,0.27099,0.24911,0.76499,0.0006832,0.0006832,0.0006832
50,48.4386,0.32745,0.2271,0.82555,0.91506,0.95,0.985,0.96087,0.27373,0.25285,0.76518,0.0006766,0.0006766,0.0006766
51,49.3426,0.37151,0.26023,0.87295,0.9259,0.95,0.985,0.9605,0.27076,0.24681,0.76417,0.00067,0.00067,0.00067
52,50.307,0.36879,0.25693,0.86639,0.93486,0.95,0.985,0.96115,0.2717,0.24175,0.76423,0.0006634,0.0006634,0.0006634
53,51.2626,0.36169,0.24699,0.83979,0.93414,0.95,0.985,0.96402,0.26904,0.24504,0.76352,0.0006568,0.0006568,0.0006568
54,52.214,0.32995,0.22723,0.84796,0.93046,0.95,0.985,0.96158,0.2686,0.2487,0.76222,0.0006502,0.0006502,0.0006502
55,53.1201,0.34011,0.2457,0.85429,0.92741,0.95,0.985,0.96136,0.26668,0.25527,0.7614,0.0006436,0.0006436,0.0006436
56,53.933,0.35282,0.25712,0.87297,0.91723,0.95,0.985,0.96133,0.26785,0.26216,0.76141,0.000637,0.000637,0.000637
57,54.7813,0.33183,0.23649,0.83599,0.90864,0.95,0.985,0.96501,0.26894,0.26857,0.76133,0.0006304,0.0006304,0.0006304
58,55.6547,0.33626,0.23477,0.84185,0.89896,0.95,0.97833,0.95853,0.26658,0.27704,0.76061,0.0006238,0.0006238,0.0006238
59,56.5753,0.36508,0.25676,0.85847,0.88141,0.95,0.9709,0.9531,0.26649,0.29149,0.76106,0.0006172,0.0006172,0.0006172
60,57.4018,0.31639,0.21983,0.83794,0.88259,0.95,0.9709,0.95486,0.26357,0.28701,0.76191,0.0006106,0.0006106,0.0006106
61,58.2084,0.32486,0.2345,0.83673,0.86631,0.95,0.9709,0.95457,0.26609,0.2961,0.76384,0.000604,0.000604,0.000604
62,59.0308,0.35504,0.24704,0.86492,0.85401,0.95,0.9709,0.95188,0.2677,0.30984,0.76456,0.0005974,0.0005974,0.0005974
63,59.8453,0.35801,0.26367,0.85888,0.85348,0.95,0.9709,0.95188,0.26747,0.31425,0.7637,0.0005908,0.0005908,0.0005908
64,60.6757,0.37224,0.25289,0.88339,0.83507,0.948,0.9494,0.93313,0.26559,0.3322,0.76291,0.0005842,0.0005842,0.0005842
65,61.5993,0.3417,0.24537,0.85808,0.82855,0.94697,0.94299,0.92047,0.26311,0.34111,0.76179,0.0005776,0.0005776,0.0005776
66,62.6247,0.36076,0.25904,0.87232,0.83473,0.95,0.94789,0.93096,0.25485,0.32249,0.75876,0.000571,0.000571,0.000571
67,63.6398,0.31243,0.21392,0.84973,0.83224,0.95,0.94372,0.92367,0.25371,0.32786,0.75759,0.0005644,0.0005644,0.0005644
68,64.653,0.29608,0.21694,0.83203,0.82589,0.945,0.95011,0.93259,0.2547,0.34027,0.75696,0.0005578,0.0005578,0.0005578
69,65.6643,0.32657,0.23123,0.84029,0.82021,0.94559,0.94175,0.92445,0.25357,0.34849,0.75699,0.0005512,0.0005512,0.0005512
70,66.6995,0.30963,0.21439,0.83325,0.82194,0.94157,0.96456,0.94946,0.2535,0.34908,0.75686,0.0005446,0.0005446,0.0005446
71,67.6987,0.34717,0.24265,0.8758,0.82268,0.94105,0.95678,0.93951,0.25109,0.34573,0.75678,0.000538,0.000538,0.000538
72,68.7074,0.30806,0.21138,0.82824,0.85713,0.92067,0.9709,0.95265,0.25194,0.3339,0.75666,0.0005314,0.0005314,0.0005314
73,69.7167,0.35869,0.256,0.84967,0.88327,0.90721,0.985,0.97357,0.25351,0.33138,0.75676,0.0005248,0.0005248,0.0005248
74,70.7407,0.33539,0.22759,0.85115,0.88633,0.90412,0.985,0.97109,0.25478,0.33142,0.75751,0.0005182,0.0005182,0.0005182
75,71.7494,0.31934,0.22863,0.85075,0.88845,0.9031,0.985,0.96877,0.25952,0.33566,0.7586,0.0005116,0.0005116,0.0005116
76,72.7732,0.32329,0.22959,0.85889,0.8865,0.90392,0.985,0.97165,0.2598,0.32573,0.75849,0.000505,0.000505,0.000505
77,73.7973,0.30673,0.22819,0.85011,0.89185,0.90363,0.985,0.97401,0.25783,0.31894,0.75876,0.0004984,0.0004984,0.0004984
78,74.8372,0.31273,0.224,0.84015,0.89929,0.90232,0.985,0.97401,0.25357,0.30667,0.7581,0.0004918,0.0004918,0.0004918
